Histo2d 
sCurve-0
Vcal
Occupancy
Number of pixels
61 -2.5 302.5
49 0.5 49.5
0 119558
221 219 217 209 209 217 212 197 210 217 210 213 220 250 227 257 220 231 224 257 254 294 300 272 315 316 343 361 405 435 463 531 588 678 757 845 1030 1337 1596 2169 2758 3017 2872 2254 1443 1009 988 1941 2593 834 271 232 215 218 214 209 192 231 218 181 214 
48 44 32 52 46 41 39 64 41 49 43 50 41 50 42 42 54 57 48 55 53 60 67 84 58 81 87 91 84 119 137 186 196 212 278 342 388 411 526 730 1055 1548 1911 1910 1545 939 583 754 1658 808 124 54 54 50 66 57 44 65 32 51 45 
19 8 19 8 11 13 15 12 5 11 19 8 13 5 16 22 19 18 15 16 24 20 27 23 26 25 35 34 48 52 64 76 86 108 136 188 197 266 321 367 532 812 1200 1568 1492 1031 601 487 1171 847 118 32 21 25 29 19 23 26 18 24 18 
8 4 6 3 1 8 5 5 4 4 6 0 7 7 5 6 7 13 6 9 10 8 11 14 15 14 15 23 24 29 38 43 53 53 74 94 107 160 224 246 305 484 699 1074 1357 1154 781 452 789 885 127 24 12 15 13 14 16 10 13 12 16 
4 1 3 0 4 1 4 4 7 4 2 1 4 2 5 6 7 5 2 6 9 10 9 12 12 8 8 13 15 16 17 24 27 50 49 59 91 110 124 190 235 290 489 823 1137 1124 834 508 645 903 134 26 17 16 17 7 15 18 9 12 10 
2 0 1 1 2 4 1 2 1 2 3 3 0 2 1 6 2 2 2 2 4 5 8 6 12 11 7 8 10 11 13 20 22 34 37 46 60 71 89 119 206 220 335 569 928 1121 905 605 559 814 181 38 16 11 9 13 13 8 11 9 9 
1 1 0 3 1 1 1 2 2 1 2 0 1 1 0 2 2 1 4 1 4 3 2 7 4 3 5 7 11 11 6 16 15 18 17 34 32 65 85 125 136 195 243 421 657 922 927 713 544 758 193 26 18 11 3 13 10 8 7 5 5 
0 1 1 0 0 1 0 0 2 1 0 0 2 1 2 1 4 4 0 0 2 4 1 6 5 6 7 4 3 9 9 7 13 16 11 23 37 38 48 80 109 141 192 300 529 795 960 745 486 762 230 35 14 8 8 11 6 10 7 1 5 
0 1 1 0 0 0 1 0 0 0 0 0 0 0 0 0 0 1 1 5 0 2 2 3 4 2 2 3 3 8 8 4 7 9 20 21 15 30 45 58 65 133 166 240 404 735 932 835 617 794 272 44 15 13 8 12 7 9 9 9 3 
0 0 0 0 0 0 0 0 0 0 2 0 0 1 1 1 3 0 1 0 0 0 0 0 1 2 1 4 1 2 4 10 4 7 12 15 23 18 29 45 60 92 145 188 315 540 795 804 640 783 320 42 15 8 2 4 5 7 3 6 5 
1 0 0 1 1 1 1 0 3 1 0 1 1 1 1 0 0 1 0 0 0 1 0 7 2 4 3 4 2 3 4 5 6 9 10 10 11 19 20 36 54 79 114 156 259 524 714 853 714 703 349 48 11 10 14 4 6 5 8 5 4 
0 0 0 0 1 0 0 2 0 1 1 1 0 0 1 0 1 0 0 1 0 1 1 0 3 4 3 1 3 6 3 2 5 6 6 11 16 14 18 20 33 58 87 137 200 372 640 818 783 801 390 76 19 5 8 7 6 5 12 8 4 
0 1 1 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 1 0 1 0 1 2 0 1 0 2 3 4 5 8 4 9 11 14 8 19 28 50 69 82 167 284 537 765 804 797 508 86 22 16 7 7 7 4 5 4 7 
